,PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
0,2266,7,1004,2011-05-04,131,1.0,1.0,3,0,1,1967-05-15,0,0,4,0,4.0,3.9,4.9,4.33,380000,144400,7600000
1,6664,2,1986,2006-12-19,26,2.0,1.0,5,0,0,1995-12-22,0,0,0,3,4.9,4.2,2.5,3.765,760122,304049,21717770
2,1270,0,909,2012-02-04,70,1.0,1.0,3,0,1,1992-02-09,0,1,0,4,4.1,3.8,2.2,3.09,421094,92114,13159200
3,3755,9,1855,2010-03-13,14,3.0,2.0,5,2,0,1988-03-18,2,2,4,2,4.7,3.9,3.6,4.01,356321,77042,9630290
4,4393,7,1226,2009-10-05,84,1.0,1.0,3,0,1,1979-10-13,2,0,0,1,3.0,2.5,4.1,3.29,237000,74063,7406250
5,156,3,1220,2014-09-11,36,2.0,1.0,4,4,0,2009-09-12,0,3,1,3,4.5,2.6,3.1,3.32,409027,198316,12394750
6,6447,3,1167,2007-04-05,137,1.0,1.0,3,4,0,1979-04-12,2,0,1,4,3.6,2.1,2.5,2.67,263152,33955,8488790
7,6858,9,1847,2006-03-13,176,3.0,2.0,5,2,0,1996-03-15,0,0,0,5,2.4,4.5,2.1,3.26,604809,235204,16800250
8,2382,3,771,2011-04-06,175,1.0,1.0,2,1,0,1977-04-14,2,2,4,5,2.9,3.7,4.0,3.55,257578,33236,8308970
9,6820,9,1635,2006-06-22,74,2.0,1.0,4,0,0,1991-06-26,2,1,1,2,3.1,3.1,3.3,3.16,323346,121255,8083650
10,6758,3,1203,2006-10-19,78,2.0,1.0,4,1,1,1978-10-26,0,0,1,5,4.0,3.2,4.5,3.83,403326,119504,14938000
11,5065,3,1054,2009-02-16,143,1.0,1.0,3,4,0,1972-02-26,2,2,0,5,2.2,3.1,3.3,2.89,245693,141746,9449730
12,3880,3,1196,2010-02-11,137,1.0,1.0,3,2,0,1991-02-16,2,2,1,4,2.1,2.5,2.1,2.26,289554,35097,8774370
13,6630,0,1056,2007-01-01,83,1.0,1.0,3,4,1,1981-01-07,2,2,4,3,2.2,3.4,3.7,3.19,319141,37546,9386490
14,2871,9,1865,2010-11-11,157,3.0,2.0,5,2,0,1956-11-24,0,2,4,5,4.8,2.2,4.9,3.66,619987,294494,15499680
15,4482,9,1868,2009-09-12,148,3.0,2.0,5,2,0,2000-09-14,0,2,0,3,3.8,3.8,3.1,3.5666666666666664,597135,188569,15714080
16,4265,7,1639,2009-11-04,175,2.0,2.0,4,3,1,1991-11-09,1,1,0,2,2.3,3.2,4.8,3.57,285648,77904,8656000
17,1421,3,796,2011-12-25,134,1.0,1.0,2,1,1,1975-01-03,0,0,1,4,3.5,4.6,4.7,4.3,316464,130951,10912550
18,5791,0,1136,2008-04-05,69,1.0,1.0,3,3,1,1978-04-13,2,0,4,0,4.6,2.6,2.9,3.35,323214,49725,8287550
19,948,2,1902,2012-07-02,168,2.0,1.0,5,2,1,1970-07-13,0,1,4,4,4.5,4.9,4.9,4.76,742113,212032,21203240
20,638,3,1069,2013-04-19,53,1.0,1.0,3,0,1,2009-04-20,2,2,4,5,2.8,2.7,4.9,3.39,283544,43622,10905530
21,5211,3,931,2008-12-13,96,1.0,1.0,3,0,1,1986-12-19,2,1,4,4,4.2,3.1,3.1,3.43,248021,27558,9185970
22,4860,6,2010,2009-05-06,114,3.0,2.0,5,4,0,1999-05-09,2,2,0,3,3.4,4.5,3.4,3.73,327762,262210,10925400
23,3260,3,1074,2010-07-23,100,1.0,1.0,3,0,0,1994-07-27,2,2,0,4,3.0,3.4,4.9,3.73,288821,86646,9627380
24,617,8,1972,2013-05-13,111,2.0,1.0,5,1,0,2008-05-14,2,2,1,3,4.1,4.4,2.8,3.59,487297,167073,13922760
25,203,8,1685,2014-07-19,105,1.0,1.0,4,2,0,1980-07-27,1,2,0,5,2.8,4.4,4.0,3.74,352830,176415,12601080
26,1570,0,1130,2011-11-10,29,1.0,1.0,3,2,1,1981-11-17,0,1,4,3,2.3,2.5,2.2,2.29,468417,53533,13383350
27,2867,7,1301,2010-11-12,59,1.0,1.0,3,3,1,2003-11-14,2,2,0,1,2.8,2.7,3.8,3.17,357283,71457,7939625
28,1879,0,730,2011-08-19,185,1.0,1.0,2,1,1,1972-08-28,1,1,0,4,2.7,4.6,4.9,4.18,265449,53090,8848285
29,513,8,1806,2013-08-18,138,2.0,1.0,5,2,0,1978-08-27,1,3,4,3,4.1,5.0,3.0,3.83,430852,113382,11338200
30,4959,2,1981,2009-04-01,173,2.0,1.0,5,1,0,2000-04-03,1,1,1,4,2.0,3.1,3.2,2.755,373300,218831,12872430
31,1895,0,868,2011-08-15,15,1.0,1.0,3,3,0,2001-08-17,2,3,0,4,2.3,2.1,2.0,2.11,325514,72336,9042050
32,1052,8,1721,2012-03-26,117,1.0,1.0,4,1,1,1992-03-31,2,1,4,5,2.0,2.8,2.9,2.605,416483,223116,14874380
